,EventName,Date,City/Country,Exhibits,URL
0,EPHJ EPMT SMT,"June  8, 2021 - June 11, 2021",Geneva (Geneve) Switzerland Europe CIS,"Training, creation, design, CAD, Raw materials, components, Machines, tools, control devices, Microtechnologies, Packaging, commercial display, Management, marketing, communication, consulting, services, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119694
1,SECURITE LAUSANNE 2021,"June 16, 2021 - June 18, 2021",Lausanne Switzerland Europe CIS,"MechanicalSecurity technology,Control andMonitoring equipment,Robbery, burglary and theft alarm systems,Fire alarm, smoke,Water and gas warning devicesInformation andComputer security, Individual devices of the electronicSecurity technology,Transport protection facilities,Special vehicles,Means of local defense,Risk management of natural hazards,Personal protectionarmor (PPE),Occupational safety,Fire and catastrophes -protection technology,Forensic science,Security and guardingthrough services,Planning, training,Regulations, law,Technical information,Development, installation,Documentation andMaintenance,Building management",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109534
