,EventName,Date,City/Country,Exhibits,URL
12,100 TechnoBuild,"October  5, 2021 - October  7, 2021",Ekaterinburg Russia Europe CIS,"Innovative Technologies and Equipment, Development, Architecture, Urban Planning, Modern Construction Materials, Construction Machinery, Building Information Modeling (BIM) and Digital Technologies",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119138
13,InterAuto 2021 International exhibition of automotive industry,"August 24, 2021 - August 27, 2021",Moscow Russia Europe CIS,"Automotive engines and components, Engineering and technologies for automotive industry, Raw materials and materials for production of components, Garage and diagnostic equipment, tools, Equipment and tools for car body repair, Equipment and components for car wash stations, Equipment and gears, Paint and lacquer materials, Car chemistry, oils, Automotive electrics and electronics, Security and anti-theft systems, Tires and tire repair, rubber articles, Automotive accessories",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119503
14,AquaPro Expo 2021,"April 12, 2021 - April 14, 2021",Moscow Russia Europe CIS,"Commercial shipbuilding, Equipment of vessels: navigation, deck, fishing, electronic equipment, Fishing gear, Protective and rescue equipment, overalls, Equipment and technologies for the construction and equipping of fish farms, Water control and purification systems, Feed and biological products, Planting material, Primary fish processing equipment, Equipment for the processing of caviar and seafood, Packing equipment: vacuum, heat shrink, tin, plastic. Corrugated and glass containers, labels, Weight control equipment, Equipment for processing fish waste,Refrigeration equipment, Transportation equipment, Washing equipment, Warehouse and industrial automation, Insurance and financial services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110289
15,"Tires Rubber 2021 23rd International Specialized Exhibition for Rubber Goods, Tires, Their Production, Raw Materials and Equipment","April 26, 2021 - April 29, 2021",Moscow Russia Europe CIS,"Tire related products and technologies : Raw and auxiliary products, intermediate goods, Equipment and devices, Finished products, Packaging and storage, Innovations, R&D, Environment protection, ecology, Contract manufacturing, Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109894
16,"TransRussia 2021 25th International Exhibition for transport and logistics services, warehouse equipment and technologies","April 12, 2021 - April 14, 2021",Moscow Russia Europe CIS,"Rail transportation, Road transportation, Sea transportation, Air transportation, Freight handling services in terminals and ports, IT solutions, Breakbulk",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107521
17,STONE INDUSTRY,"June 29, 2021 - July  2, 2021",Moscow Russia Europe CIS,"GEOLOGICAL EXPLORATION, QUARRY DEVELOPMENT AND ENGINEERING, SAND-GRAVELS & LOOSE STONE DEPOSITS, UNWORKED STONE,  BLOCKS & SLABS, FINISHED PRODUCTS, ARCHITECTURAL DESIGNS WITH APPLICATION OF NATURAL STONE, QUARRY & QUARRYING MACHINERY, STONE PROCESSING MACHINERY & EQUIPMENT, STONE PROCESSING TOOLS, ACCESSORIES & SPARE PARTS, CHEMICALS FOR CARE & PRESERVATION OF NATURAL STONE, CONSERVATION & RESTORATION OF NATURAL STONE, INDUSTRIAL SAFETY & ENVIRONMENTAL PROTECTION,  QUARRY RESTORATION, PROTECTION & SAFETY ITEMS, PROTECTING CLOTHS, TRANSPORTATION & LOGISTICS",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119310
18,"UGOL ROSSII MINING 2021 29th International Trade Fair for Coal Mining Technology, Preparation and Materials Handling","June  1, 2021 - June  4, 2021",Novokuznetsk Russia Europe CIS,"Coal Mining Technology, Preparation and Materials Handling,Exploitation, Processing and Refining of Metals and Industrial Minerals,Occupational Health and Safety for the Mining Industry",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119314
19,PTFair St Petersburg Technical Fair,"April 21, 2021 - April 23, 2021",St Petersburg Russia Europe CIS,"Metallurgy, Foundry, Fasteners, Hardware, Tool, Metal processing, Plastics, Polymers, Composites,  RTI,Labor protection and protective equipment",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110328
20,WORLDFOOD MOSCOW,"September 21, 2021 - September 24, 2021",Moscow Russia Europe CIS,"Grocery, Frozen foods, Confectionery, Canned food, Oils, Dairy products, Meet, Drinks, Fish and Seafood, Fruits and Vegetables, Tea and Coffee, Organic and Health food",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119260
21,"MiningWorld Russia 2021 25th International exhibition of machines and equipment for mining, processing and transportation of minerals","April 20, 2021 - April 22, 2021",Moscow Russia Europe CIS,"HEAVY EQUIPMENT, IT & MINING AUTOMATION TECHNOLOGIES, MINERAL EXPLORATION EQUIPMENT & MACHINERY, MINERAL PRODUCTION EQUIPMENT & MACHINERY, MINERAL DRESSING & PROCESSING EQUIPMENT, MINERAL TRANSPORTATION EQUIPMENT & MACHINERY, MINING SAFETY EQUIPMENT & MACHINERY, WATER TREATMENT, AIR FILTRATION AND ENVIRONMENTAL MONITORING SYSTEMS, LABORATORY EQUIPMENT & MATERIALS, SPARE PARTS & COMPONENTS, POWER SUPPLY EQUIPMENT, CONSTRUCTION TECHNOLOGIES IN MINING",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119234
22,ITM Intourmarket 2021 International Travel Fair,"April  1, 2021 - April  3, 2021",Moscow Russia Europe CIS,"Summer leisure, Business tourism and MICE, Adventure holidays, SPA, wellness and health tourism, Exotic and sun destinations, Eco tourism destinations, City & sightseeing tours, Kids and family leisure, Educational tourism, Museums and national parks, Club holidays, Cruises, Safaris, Hotel and restaurant service, Transport (airlines, car rental, railway tours, river tours), IT solutions for tourism and transport, Press & media, Insurance & banking, Real Estate abroad, Training and Education in tourism industry, Maps, brochures and guides for the travel industry",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110323
23,Kids Russia 2021 The 15th International Specialized Exhibition of Products for Children,"April 20, 2021 - April 22, 2021",Moscow Russia Europe CIS,"Products for pregnant women and nursing mothers, Goods and toys for newborns and babies, Stuffed toys, dolls, Electronic and multimedia games, mechanical and interactive toys, Wooden Toys, Books, educational games, board games, Hobbies and models, Children's clothes, shoes Children's furniture and multifunctional equipment for children's playgrounds, Christmas toys, everything for holidays, gifts, Creativity and design, Goods for outdoor activities, sports goods",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119235
24,AGROFERMA 2021 AgroFarm,"June 23, 2021 - June 25, 2021",Moscow Russia Europe CIS,"Breeding, reproduction technology, Farm inputs, Feed production/storage, Animal housing and barn construction, Husbandry and feeding technology, energy and environmental engineering, Milking and cooling technology, Bioenergy, Transport vehicles, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119233
25,Dentima Krasnodar Dental exhibition,"May 19, 2021 - May 21, 2021",Krasnodar Russia Europe CIS,"wireless instruments, diagnostic & visual systems, implantation products, practice furniture, driving devices & handpieces, lighting systems, dental & oral hygiene, work aids & auxiliary materials for dental treatment purposes, rotary instruments, suction, separator & compressed air systems, special devices for bite registration, dosing & mixing, dental materials, dental units, chairs, oscillating instruments, laser technology, pharmaceuticals, hand instruments, artificial teeth, CAD/CAM modeling, materials for inlays, crowns & bridges, denture materials, furniture for dental laboratories, modeling materials, motors & handpieces, functional systems for dental laboratories, orthodontic construction elements, dental laboratory equipment, work aids & materials for dental lab. Purposes, reconstruction auxiliaries, rotary tools, prefabricated mouldings, leasing services, marketing services, education & training services, mass media, software, maintenance and repair services, insurance",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119204
26,Tube Russia 2021 The International Tube and Pipe Trade Fair in Russia,"June  8, 2021 - June 10, 2021",Moscow Russia Europe CIS,"Raw materials, tubes and accessories, Tube manufacturing machinery, Rebuilt and reconditioned machinery, Measuring and control technology, Process technology tools and auxiliaries, Measuring and control technology, Testing Specialist areas, Trading,  stockists of tubes, Pipeline and OCTG technology, Profiles and machinery, Plastic tube forum",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119216
27,Meat and Poultry Industry Russia VIV ( Postponed),"May 26, 2020 - May 28, 2022",Moscow Russia Europe CIS,"Poultry Breeding and Equipments, Meat Industry and Equipments, Meat Products, Feed Production and Supplements, Feeders & Mixers,Veterinary Instruments, Medicines,Budding and Biological Products,Diagnostic Laboratories, Genetics and Registration, Packaging, Animal Health, Hygiene, Cleaning and Sanitation Systems, Farm Buildings and Equipments",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107449
28,"WasteTech 2021 International Trade Fair and Conference for Waste Management, Recycling, Environmental Technologies and Renewable Energy","September  7, 2021 - September  9, 2021",Moscow Russia Europe CIS,"Waste management and Recycling, Collection and transportation, Waste treatment technologies, Integratedwaste management, Waste minimization, Recycling, Products from wasteScrapExpo: ferrous and nonferrous metal scrap recyclingREnergo: Waste-to-energy and renewable energy. Municipal and Industrial wastewater treatment. Public toilets.Air-pollution control (Luft Tech)Air and Gas treatment technology, Dust prevention and Ventilation Monitoring, Control and Analysis (EcoLab)Urban improvement (City Comfort), Circular economy.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119184
29,Photonics World of Lasers and Optics 2021,"March 30, 2021 - April  2, 2021",Moscow Russia Europe CIS,"Laser radiation sources and components, Optical materials and technologies, Optical elements, components, systems, Fiber optic equipment, Laser equipment for cutting, welding, marking and other types of materials processing, Laser and optical test equipment, Equipment for artificial vision, sensors, detectors, Night vision equipment, optic and laser sights, Optoelectronics, nanophotonics, Optical systems of data logging, storage and transmission, Biomedical equipment based on photonic technologies, Laser medicine, Photoelectronics, solar energy, Displays, equipment for light shows, Light emitting diodes, lighting engineering, illuminating and lighting systems, Hologram equipment and materials, Laser technologies for advertising, production of gifts, Laser and optical security equipment, Research equipment, Maintenance of laser and optical equipment, Innovation centers, technology transfer centers, Training, information support",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119163
30,"PRODEXPO 2021 28th INTERNATIONAL EXHIBITION FOR FOOD, BEVERAGES, FOOD RAW MATERIALS","April 12, 2021 - April 16, 2021",Moscow Russia Europe CIS,"Alcoholic drinks, Farm products, Food, Beverages, Food processing, Organic products, Equipment and Services, Gastronomy, products for restaurants, fine food. Trading houses, Packaging Solutions for the Food Industry, Healthy nutrition, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110137
