,EventName,Date,City/Country,Exhibits,URL
0,"NANOTEXNOLOGY Expo 2021 11th International Exhibition on Nanotechnologies, Organic Electronics Nanomedicine","July  5, 2021 - July  9, 2021",Thessaloniki Greece Europe CIS,"Nanotechnology-related products, services, systems, Materials & Chemicals synthesis, Fabrication & Manufacturing Methods, Metrology & Instrumentation Systems, Devices, The Internet of Things, Applications, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119199
1,Posidonia 2022,"June  6, 2022 - June 10, 2022",Athens Greece Europe CIS,"Ship Building & Repair, Engines, Navigational Equipment, Electronics, Computer Applications, Consultancy Services, Petroleum Products, Canal & Port Authorities, Classification Societies, Safety, Communications Aids, Financing & Banking Services, Publications, Insurance, Coatings, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109803
